id,x1,x2,x3,x4,x5,x6,x7,label
1,2.1,1.9,2.5,2.2,1.8,2.0,2.3,A
2,2.3,2.1,2.6,2.4,2.0,2.2,2.5,A
3,1.8,1.7,2.2,2.0,1.6,1.9,2.1,A
4,2.5,2.3,2.8,2.6,2.2,2.4,2.7,A
5,2.0,1.8,2.4,2.1,1.9,2.1,2.2,A
6,2.2,2.0,2.7,2.3,2.1,2.3,2.4,A
7,1.9,1.6,2.3,2.0,1.7,1.8,2.0,A
8,2.4,2.2,2.9,2.5,2.3,2.5,2.6,A
9,2.1,1.9,2.5,2.2,2.0,2.1,2.3,A
10,2.3,2.1,2.6,2.4,2.2,2.3,2.5,A
11,1.7,1.5,2.1,1.9,1.6,1.7,1.9,A
12,2.6,2.4,3.0,2.7,2.3,2.6,2.8,A
13,2.0,1.9,2.4,2.2,2.1,2.0,2.3,A
14,2.2,2.0,2.7,2.3,2.2,2.2,2.5,A
15,1.8,1.7,2.2,2.0,1.8,1.9,2.1,A
16,2.5,2.3,2.9,2.6,2.4,2.5,2.7,A
17,2.1,2.0,2.6,2.3,2.1,2.2,2.4,A
18,1.9,1.8,2.3,2.1,1.9,2.0,2.2,A
19,2.4,2.2,2.8,2.5,2.3,2.4,2.6,A
20,2.0,1.9,2.5,2.2,2.0,2.1,2.3,A
21,7.5,7.8,8.0,7.6,7.9,8.1,7.7,B
22,7.2,7.5,7.8,7.4,7.6,7.9,7.3,B
23,7.8,8.1,8.3,7.9,8.2,8.4,8.0,B
24,7.6,7.9,8.2,7.7,8.0,8.3,7.8,B
25,7.3,7.6,7.9,7.5,7.7,8.0,7.4,B
26,7.9,8.2,8.4,8.0,8.3,8.5,8.1,B
27,7.4,7.7,8.0,7.6,7.8,8.1,7.5,B
28,7.7,8.0,8.2,7.8,8.1,8.3,7.9,B
29,7.2,7.5,7.8,7.4,7.7,7.9,7.3,B
30,7.8,8.1,8.3,7.9,8.2,8.4,8.0,B
31,7.5,7.8,8.1,7.6,7.9,8.2,7.7,B
32,7.3,7.6,7.9,7.5,7.7,8.0,7.4,B
33,7.9,8.2,8.5,8.0,8.3,8.6,8.1,B
34,7.6,7.9,8.2,7.7,8.0,8.3,7.8,B
35,7.4,7.7,8.0,7.6,7.8,8.1,7.5,B
36,7.7,8.0,8.3,7.8,8.1,8.4,7.9,B
37,7.2,7.5,7.8,7.4,7.6,7.9,7.3,B
38,7.8,8.1,8.4,7.9,8.2,8.5,8.0,B
39,7.5,7.8,8.1,7.6,7.9,8.2,7.7,B
40,7.3,7.6,7.9,7.5,7.7,8.0,7.4,B
